Mnemonic,Ord.Mnemonic,Test,TestName,OrderingRecommendation,LOINC,SPECIMENREQUIREMENTS,SampleType,PreferredContainer,AlternateContainer,SampleVolume,HandlingInstructions,Transport,SpecimenStability,UnsuitableSpecimen,TESTING,Frequency,ExpectedTurnAround,ReferenceRange,ResponsibleDept,ReferralLab,NYSDOHApprovalStatus,CPT,Methodology,ADDITIONALINFORMATION,COMPLIANCESTATEMENT,TestCodes
"APOLIPOPROTEINS, APO-B/APO-A1, APO B/APO A1, APO RATIO",,E375,APOLIPOPROTEIN B/A1 RATIO,,"Apolipoprotein A1 (1869-7), Apolipoprotein B (1884-6), Apoliprotein B/Apolipoprotein A1 Ratio (1874-7)", ,Serum,Serum Separator Tube,Plain Red Top Tube,2.0 mL,Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells ASAP. Aliquot and refrigerate or freeze immediately.,Refrigerated or Frozen,Ambient: 1 Day; Refrigerated: 8 Days; Frozen: 2 Months,Grossly hemolyzed specimens., ,"Monday, Tuesday, Wednesday, Thursday, Friday",1 - 2 Days,Gender specific reference ranges will be applied per report,Core Laboratory,,Approved, 82172 x 2,Immunoturbidimetric Assay,,FDA cleared or approved assay,"APOLIPOPROTEIN A1,APO B,APOB/APO A1 RATIO"
"ARIOSA NIPT FETAL SEX, 22q, ARIOSA, NIPT FETAL SEX",,W457,ARIOSA NIPT FETAL SEX 22q,"Cell-free DNA screening test to assess risk of fetal trisomy 21, 18, and 13, assess risk of 22q11.2 deletion, and for assessment of fetal sex.","Multiple, please inquire for details (no LOINC defined at this time)", ,Whole Blood,Cell-Free DNA Collection Tube,None,8.5 mL per tube (x2 tubes),Fill cfDNA tubes to capacity and invert 8-10x to mix,Ambient,Ambient: 7 Days,Underfilled or overfilled blood collection tubes. Frozen specimens. Refrigerated specimens., ,"Monday, Tuesday, Wednesday, Thursday, Friday",,Reference ranges will be applied per report,,Ariosa Diagnostics,Approved,"81507, 81599, 81422",Harmony Prenatal Test,This test is intended for use as early as 10 weeks gestational age in pregnant women of any age or risk category. Testing may be performed in twin pregnancies to evaluate for trisomies. Testing may be performed for IVF pregnancies from self or non-self egg donors.,,"FETAL cfDNA,TRISOMY 21 RESULT,T21 PROBABILITY,TRISOMY 21 RECOMMEND,TRISOMY 18 RESULT,T18 PROBABILITY,TRISOMY 18 RECOMMEND,TRISOMY 13 RESULT,T13 PROBABILITY,TRISOMY 13 RECOMMEND,FETAL SEX RESULT,22Q11.2 DEL RESULT,GESTATIONAL AGE WEEK,GESTATIONAL AGE DAYS,GA MEASURED DATE,GA BY LMP,LMP DATE,GA BY ULTRASOUND,ULTRASOUND DATE,GA BY EDC,EDC DATE,GA BY IVF,IN VITRO DATE,NUMBER OF FETUS,EGG DONOR,EGG DONOR AGE,GA ARIOSA,TEST DESCRIPTION,CLINICAL DATA ARIOSA,DISCLAIMER ARIOSA,PRIOR AUTHORIZATION,PRE AUTH REFERENCE,ARIOSA PATIENT ID,RESEARCH OPT OUT,PATIENT CONSENT,PATIENT CONSENT DATE,PATIENT STATE,PATIENT COUNTRY,PATIENT HEIGHT,PATIENT WEIGHT,CLINICIAN CONSENT,CLINIC CONSENT DATE"
"ARIOSA NIPT MONOSOMY X, 22q, ARIOSA, NIPT MONOSOMY X",,W458,ARIOSA NIPT MONOSOMY X 22q,"Cell-free DNA screening test to assess risk of fetal trisomy 21, 18, and 13, assess risk of fetal monosomy X, and assess risk of 22q11.2 deletion.","Multiple, please inquire for details (no LOINC defined at this time)", ,Whole Blood,Cell-Free DNA Collection Tube,None,8.5 mL per tube (x2 tubes),Fill cfDNA tubes to capacity and invert 8-10x to mix,Ambient,Ambient: 7 Days,Underfilled or overfilled blood collection tubes. Frozen specimens. Refrigerated specimens., ,"Monday, Tuesday, Wednesday, Thursday, Friday",,Reference ranges will be applied per report,,Ariosa Diagnostics,Approved,"81507, 81599, 81422",Harmony Prenatal Test,This test is intended for use as early as 10 weeks gestational age in pregnant women of any age or risk category. Testing may be performed in twin pregnancies to evaluate for trisomies. Testing may be performed for IVF pregnancies from self or non-self egg donors.,,"FETAL cfDNA,TRISOMY 21 RESULT,T21 PROBABILITY,TRISOMY 21 RECOMMEND,TRISOMY 18 RESULT,T18 PROBABILITY,TRISOMY 18 RECOMMEND,TRISOMY 13 RESULT,T13 PROBABILITY,TRISOMY 13 RECOMMEND,MONOSOMY X RESULT,22Q11.2 DEL RESULT,GESTATIONAL AGE WEEK,GESTATIONAL AGE DAYS,GA MEASURED DATE,GA BY LMP,LMP DATE,GA BY ULTRASOUND,ULTRASOUND DATE,GA BY EDC,EDC DATE,GA BY IVF,IN VITRO DATE,NUMBER OF FETUS,EGG DONOR,EGG DONOR AGE,GA ARIOSA,TEST DESCRIPTION,CLINICAL DATA ARIOSA,DISCLAIMER ARIOSA,PRIOR AUTHORIZATION,PRE AUTH REFERENCE,ARIOSA PATIENT ID,RESEARCH OPT OUT,PATIENT CONSENT,PATIENT CONSENT DATE,PATIENT STATE,PATIENT COUNTRY,PATIENT HEIGHT,PATIENT WEIGHT,CLINICIAN CONSENT,CLINIC CONSENT DATE"
"ARIOSA NIPT SCAP 22Q, SEX CHROMOSOME ANEUPLOIDY 22Q, NIPT SCAP 22Q",,W459,ARIOSA NIPT SCAP 22q,"Cell-free DNA screening test to assess risk of fetal trisomy 21, 18, and 13, assess risk of fetal sex chromosome aneuploidies X, XXX, XXY, XYY, and XXYY, and assess risk of 22q11.2 deletion.","Multiple, please inquire for details (no LOINC defined at this time)", ,Whole Blood,Cell-Free DNA Collection Tube,None,8.5 mL per tube (x2 tubes),Fill cfDNA tubes to capacity and invert 8-10x to mix,Ambient,Ambient: 7 Days,Underfilled or overfilled blood collection tubes. Frozen specimens. Refrigerated specimens., ,"Monday, Tuesday, Wednesday, Thursday, Friday",,Reference ranges will be applied per report,,Ariosa Diagnostics,Approved,"81507, 81599, 81422",Harmony Prenatal Test,This test is intended for use as early as 10 weeks gestational age in pregnant women of any age or risk category. Testing may be performed in twin pregnancies to evaluate for trisomies. Testing may be performed for IVF pregnancies from self or non-self egg donors.,,"FETAL cfDNA,TRISOMY 21 RESULT,T21 PROBABILITY,TRISOMY 21 RECOMMEND,TRISOMY 18 RESULT,T18 PROBABILITY,TRISOMY 18 RECOMMEND,TRISOMY 13 RESULT,T13 PROBABILITY,TRISOMY 13 RECOMMEND,SEX CHROM ANEUPLOIDY,22Q11.2 DEL RESULT,GESTATIONAL AGE WEEK,GESTATIONAL AGE DAYS,GA MEASURED DATE,GA BY LMP,LMP DATE,GA BY ULTRASOUND,ULTRASOUND DATE,GA BY EDC,EDC DATE,GA BY IVF,IN VITRO DATE,NUMBER OF FETUS,EGG DONOR,EGG DONOR AGE,GA ARIOSA,TEST DESCRIPTION,CLINICAL DATA ARIOSA,DISCLAIMER ARIOSA,PRIOR AUTHORIZATION,PRE AUTH REFERENCE,ARIOSA PATIENT ID,RESEARCH OPT OUT,PATIENT CONSENT,PATIENT CONSENT DATE,PATIENT STATE,PATIENT COUNTRY,PATIENT HEIGHT,PATIENT WEIGHT,CLINICIAN CONSENT,CLINIC CONSENT DATE"
ARSENIC BLOOD,,L830,ARSENIC WHOLE BLOOD,,Arsenic Blood (5583-0), ,Whole Blood,Trace Metal Free EDTA (Royal Blue Top) Tube,None,"1.0 mL (0.4 mL minimum, does not allow for repeat testing)",Refrigerate specimen after collection.,Refrigerated,Ambient: 1 Week; Refrigerated; 12 Days,Heparinized specimens.  Frozen samples. Clotted samples., ,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",2 - 4 Days,< 13.1 mcg/L,Analytical Chemistry,,Not currently NYSDOH approved,82175,Inductively coupled plasma-mass spectrometry (ICP-MS),"Elevated concentrations of trace elements in specimens collected in tubes that are not trace element-free may be due to contamination. Results should be confirmed with a second specimen collected in a trace element-free tube, such as a royal blue (EDTA) sterile tube. Diet, medication, and nutritional supplements may introduce interfering substances. Patients should be encouraged to discontinue nutritional supplements, vitamins, minerals, nonessential over-the-counter medications (upon the advice of their physician) and avoid shellfish and seafood for 48 to 72 hours.",This test was developed and its performance characteristics determined by Sonic Reference Laboratory (SRL). It has not been cleared or approved by the U.S. Food and Drug Administration (FDA). The FDA has determined that such clearance or approval is not necessary. This test is used for clinical purposes and should not be regarded as investigational or for research. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,ARSENIC WHOLE BLOOD
"ASCA, S CEREVISIAE IGG/IGA, S. CEREVISIAE, SACCHAROMYCES",,F025,S CEREVISIAE IGG/IGA,,"S. cerevisiae IgG (47321-5), S. cerevisiae IgA (47320-7)", ,Serum,Serum Separator Tube,Plain Red Top Tube,1.0 mL,Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells within two hours of collection. Aliquot and refrigerate or freeze.,Refrigerated or Frozen,Ambient: 1 Week; Refrigerated: 28 Days; Frozen: 3 Months,"Grossly hemolyzed, lipemic, microbially contaminated, or heat-inactivated samples. Specimen containing azide or any visible particulate.", ,"Monday, Wednesday, Friday",1 - 3 Days,S. cerevisiae IgG: <20.1 UnitsS. cerevisiae IgA: <20.1 Units,Core Laboratory,,Approved,86671 x2,Enzyme-Linked Immunosorbent Assay (ELISA),,FDA cleared or approved assay,"S CEREVISIAE IGG,S CEREVISIAE IGA"
"BACTERIAL VAGINOSIS, BVPCR, BV",,U150,BACTERIAL VAGINOSIS BY PCR,,"Bacterial Vaginosis Result (69571-8), Bact Vaginosis Interp, Lactobacillus spp., Lactobacillus interp, Gardnerella vaginalis, Gardnerella interp, Atopobium vaginae, Atopobium interp, Megasphaera spp., Megasphaera interp", ,APTIMA Vaginal Swab (Orange),APTIMA Collection Container/Swab (Orange),None,1 Swab,"Instructions for vaginal swab specimen collection:  1. Partially peel open the swab package. Remove the swab. Do not touch the soft tip or lay the swab down. If the soft tip is touched, the swab is laid down, or the swab is dropped, use a new APTIMA Vaginal Swab Specimen Collection Kit.  2. Hold the swab, placing your thumb and forefinger in the middle of the swab shaft covering the score line. Do not hold the swab shaft below the score line.  3. Carefully insert the swab into the vagina about 2 inches (5 cm) past the introitus and gently rotate the swab for 10 to 30 seconds. Make sure the swab touches the walls of the vagina so that moisture is absorbed by the swab and then withdraw the swab without touching the skin.  4. While holding the swab in the same hand, unscrew the cap from the tube. Do not spill the contents of the tube. If the contents of the tube are spilled, use a new APTIMA Vaginal Swab Specimen Collection Kit.  5. Immediately place the swab into the transport tube so that the score line is at the top of the tube.  6. Carefully break the swab shaft at the score line against the side of the tube.  7. Immediately discard the top portion of the swab shaft.  8. Tightly screw the cap onto the tube. Vaginal swab specimens must be transported to the laboratory in the APTIMA swab specimen transport medium and tube (orange).",Ambient or Refrigerated,Ambient: 2 Weeks; Refrigerated: 2 Weeks,Specimen other than swab. Frozen samples., ,"Monday, Tuesday, Wednesday, Thursday, Friday",3 - 5 Days,Negative,Molecular,,Not currently NYSDOH approved," 87799 x 3, 87512",Polymerase chain reaction (PCR),"Bacterial vaginosis (BV) is associated with a shift in bacterial vaginal flora from a lactobacillus-dominant state to increasing diversity and quantity of other organisms.  Quantitative real-time PCR is performed to characterize vaginal flora.  Quantitative results are interpreted according to clinically determined cutoffs.  An internal control gene is amplified to demonstrate absence of PCR inhibition and specimen adequacy.  This assay can aid in the diagnosis of BV in patients with appropriate clinical symptoms.  The performance of a vaginal swab specimen has not been evaluated in pregnant women or in teenage women less than 16 years of age.  A negative result does not exclude BV due to other organisms, low level infection, or specimen collection errors.  The expected result is negative.  A normal quantitation of Lactobacillus spp. is >5.00 log CFU/mL.  Increased for G. vaginalis is >7.50 log CFU/mL, increased for A. vaginae is >5.00 log CFU/mL, and increased for Megasphaera spp. is >4.40 log CFU/mL.",This test has components designated by the manufacturer as 'For Research Use Only'. The performance characteristics of this test were determined by Sonic Reference Laboratory (SRL). The components have not been cleared or approved by the U.S. Food and Drug Administration (FDA). The test results are not intended to be used as the sole means for clinical diagnosis or patient management. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,"BV RESULT,BV INTERP,LACTOBACILLUS LOG,LACTO INTERP,G.VAG LOG,G.VAG INTERP,ATOP LOG,ATOP INTERP,MEGA LOG,MEGA INTERP"
"BIOAVAILABLE TESTOSTERONE LC-MS/MS, BIOAVAILABLE LC-MS/MS",,E503,"BIOAVAILABLE TESTOSTERONE FEMALE, CHILD",,"Testosterone Total (2986-8), SHBG (13967-5), Testosterone Bioavail (2990-0), Testosterone Free Calc (2991-8), Albumin (1751-7)", ,Serum,Plain Red Top Tube,Serum Separator Tube,"2.0 mL (0.8 mL minimum, does not allow for repeat testing)",Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum from cells within 2 hours of collection. Aliquot and freeze.,Frozen,Refrigerated: 1 Week; Frozen: 1 Month,"Grossly hemolyzed specimen, heat-inactivated samples, samples stabilized with azide.", ,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",1 - 4 Days,Age and gender specific reference ranges will be applied per report.,Analytical Chemistry / Core Laboratory,,Approved,"84403, 84270",Liquid chromatography/tandem mass spectrometry (LC-MS/MS); Electrochemiluminescence Immunoassay (ECLIA),,Testosterone:This test was developed and its performance characteristics determined by Sonic Reference Laboratory (SRL). It has not been cleared or approved by the U.S. Food and Drug Administration (FDA). The FDA has determined that such clearance or approval is not necessary. This test is used for clinical purposes and should not be regarded as investigational or for research. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).SHBG and albumin:FDA cleared or approved assay,"TESTOSTERONE LC-MS/MS,SEX HORMONE BINDING,TESTOSTERONE BIO FEM,TESTOSTERONE FREE FEM,ALBUMIN"
"BK VIRUS BLOOD AND URINE, BKV BLOOD URINE",,U623,"BKV PCR QUANT U, BL",For quantitative detection of BK virus in urine and blood.,"BKV Urine Quant (no LOINC defined at this time), BKV Urine Viral Log (no LOINC defined at this time), BKV Urine Quant Copies (41480-5), BKV Urine Log Copies (43201-3), BKV Urine Interp (33978-8), BKV Blood Quant (no LOINC defined at this time), BKV Blood Viral Log (no LOINC defined at this time), BKV Blood Quant Copies (48309-9), BKV Blood Log Copies (43201-3), BKV Blood Interp (47251-4), Blood Source (31208-2)", ,"Whole Blood, Plasma or Serum AND Urine","Whole Blood or Plasma: EDTA (Lavender Top) Tube, Serum: Serum Separator Tube, Urine: Sterile Screw-Cap Container",None,"3.0 mL (0.6 mL minimum, does not allow for repeat testing)",Whole Blood: Refrigerate specimen after collection. Transport refrigerated.Plasma or Serum:  Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum or plasma from cells ASAP. Aliquot and freeze. Transport frozenUrine: Transfer 3.0 mL urine to a Sterile Screw-Cap Container and freeze. Transport frozen.,See Handling Instructions,Ambient: 3 Days; Refrigerated: 1 Week; Frozen: 2 Weeks,Heparinized specimens., ,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",1 - 4 Days,Not Detected,Molecular,,Not currently NYSDOH approved,87799 x2,Quantitative Real-Time Polymerase Chain Reaction (PCR),"BK virus infections can be a significant cause of morbidity and mortality in immunocompromised patients with hematologic and renal transplants. Clinical manifestation of BK infections include tubulointerstitial nephritis, also referred to as BK virus nephropathy (BKVN), and ureteral stenosis in kidney transplant recipients and hemorrhagic cystitis in bone marrow transplant recipients.  Approximately 1-10% of renal transplant patients progress to BKVN and up to 80% of these patients may lose their grafts.  The onset of nephritis can occur as early as several days post-transplantation to as late as 5 years, with a mean period of 10 to 13 months post-transplantation.  The majority of BKVN manifestations occur within the first 2 years post-transplantation.A presumptive diagnosis of BKVN can be established if a patient has persistent viruria for more than two weeks in conjunction with greater than 10,000 copies/mL of BK virus DNA in plasma.  Hence, monitoring BK virus burden in patients who are at risk of developing BKVN is helpful in predicting the onset of nephropathy. The quantitative range of the BK virus PCR assay is 2.3 log IU/mL (200 IU/mL) to 7.3 log IU/mL (20,000,000 IU/mL).  Samples in which virus is detected below the limit of quantitation are reported as 'Detected' without a reported quantity.  BK virus viral load test results are reported in International Units per milliliter (IU/mL) and copies/mL as well as log transformed values.  Results may not be comparable to results generated by other methodologies not calibrated to international standards (IU/mL).",This test was developed and its performance characteristics determined by Sonic Reference Laboratory (SRL). Analyte specific reagents are used. The test has not been cleared or approved by the U.S. Food and Drug Administration (FDA). The FDA has determined that such clearance or approval is not necessary. The results are not intended to be used as the sole means for clinical diagnosis or patient management. This test should not be regarded as investigational or for research use. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,"BKV PCR QUANTITATIVE,BKV QUANT LOG,BKV PCR LOG COPIES,BKV QUANT LOG COP/ML,BKV URINE INTERP,BKV PCR QUANT BL,BKV QUANT LOG BL,BKV PCR LOG COP BL,BKV Q LOG COP/ML BL,BKV BLOOD INTERP,BKV SOURCE BL"
"BK VIRUS BLOOD, BKV BLOOD",,U622,BKV PCR QUANT BLOOD,For quantitative detection of BK virus in blood.,"BKV Blood Quant (no LOINC defined at this time), BKV Blood Viral Log (no LOINC defined at this time), BKV Blood Quant Copies (48309-9), BKV Blood Log Copies (43201-3), BKV Blood Interp (47251-4), Blood Source (31208-2)", ,"Whole Blood, Plasma or Serum ","Whole Blood or Plasma: EDTA (Lavender Top) Tube, Serum: Serum Separator Tube",None,"3.0 mL (0.6 mL minimum, does not allow for repeat testing)",Whole Blood: Refrigerate specimen after collection. Transport refrigerated.Plasma or Serum:  Collect specimen per tube manufacturer's instructions. Centrifuge sample and separate serum or plasma from cells ASAP. Aliquot and freeze. Transport frozen.,See Handling Instructions,Ambient: 3 Days; Refrigerated: 1 Week; Frozen: 2 Weeks,Heparinized specimens. Urine (refer to test sets U621 and U623)., ,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",1 - 4 Days,Not Detected,Molecular,,Not currently NYSDOH approved,87799,Quantitative Real-Time Polymerase Chain Reaction (PCR),"BK virus infections can be a significant cause of morbidity and mortality in immunocompromised patients with hematologic and renal transplants. Clinical manifestation of BK infections include tubulointerstitial nephritis, also referred to as BK virus nephropathy (BKVN), and ureteral stenosis in kidney transplant recipients and hemorrhagic cystitis in bone marrow transplant recipients.  Approximately 1-10% of renal transplant patients progress to BKVN and up to 80% of these patients may lose their grafts.  The onset of nephritis can occur as early as several days post-transplantation to as late as 5 years, with a mean period of 10 to 13 months post-transplantation.  The majority of BKVN manifestations occur within the first 2 years post-transplantation.A presumptive diagnosis of BKVN can be established if a patient has persistent viruria for more than two weeks in conjunction with greater than 10,000 copies/mL of BK virus DNA in plasma.  Hence, monitoring BK virus burden in patients who are at risk of developing BKVN is helpful in predicting the onset of nephropathy. The quantitative range of the BK virus PCR assay is 2.3 log IU/mL (200 IU/mL) to 7.3 log IU/mL (20,000,000 IU/mL).  Samples in which virus is detected below the limit of quantitation are reported as 'Detected' without a reported quantity.  BK virus viral load test results are reported in International Units per milliliter (IU/mL) and copies/mL as well as log transformed values.  Results may not be comparable to results generated by other methodologies not calibrated to international standards (IU/mL).",This test was developed and its performance characteristics determined by Sonic Reference Laboratory (SRL). Analyte specific reagents are used. The test has not been cleared or approved by the U.S. Food and Drug Administration (FDA). The FDA has determined that such clearance or approval is not necessary. The results are not intended to be used as the sole means for clinical diagnosis or patient management. This test should not be regarded as investigational or for research use. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,"BKV PCR QUANT BL,BKV QUANT LOG BL,BKV PCR LOG COP BL,BKV Q LOG COP/ML BL,BKV BLOOD INTERP,BKV SOURCE BL"
"BK VIRUS URINE, BKV, BKV URINE",,U621,BKV PCR QUANT URINE,For quantitative detection of BK virus in urine.,"BKV Urine Quant (no LOINC defined at this time), BKV Urine Viral Log (no LOINC defined at this time), BKV Urine Quant Copies (41480-5), BKV Urine Log Copies (43201-3), BKV Urine Interp (33978-8)", ,Urine,Sterile Screw-Cap Container,None,"3.0 mL (0.6 mL minimum, does not allow for repeat testing)",Transfer 3.0 mL urine to a Sterile Screw-Cap Container and freeze.,Frozen,Ambient: 3 Days; Refrigerated: 1 Week; Frozen: 2 Weeks,"Plasma, serum or whole blood (refer to test sets U622 and U623).", ,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",1 - 4 Days,Not Detected,Molecular,,Not currently NYSDOH approved,87799,Quantitative Real-Time Polymerase Chain Reaction (PCR) ,"BK virus infections can be a significant cause of morbidity and mortality in immunocompromised patients with hematologic and renal transplants. Clinical manifestation of BK infections include tubulointerstitial nephritis, also referred to as BK virus nephropathy (BKVN), and ureteral stenosis in kidney transplant recipients and hemorrhagic cystitis in bone marrow transplant recipients.  Approximately 1-10% of renal transplant patients progress to BKVN and up to 80% of these patients may lose their grafts.  The onset of nephritis can occur as early as several days post-transplantation to as late as 5 years, with a mean period of 10 to 13 months post-transplantation.  The majority of BKVN manifestations occur within the first 2 years post-transplantation.A presumptive diagnosis of BKVN can be established if a patient has persistent viruria for more than two weeks in conjunction with greater than 10,000 copies/mL of BK virus DNA in plasma.  Hence, monitoring BK virus burden in patients who are at risk of developing BKVN is helpful in predicting the onset of nephropathy. The quantitative range of the BK virus PCR assay is 2.3 log IU/mL (200 IU/mL) to 7.3 log IU/mL (20,000,000 IU/mL).  Samples in which virus is detected below the limit of quantitation are reported as 'Detected' without a reported quantity.  BK virus viral load test results are reported in International Units per milliliter (IU/mL) and copies/mL as well as log transformed values.  Results may not be comparable to results generated by other methodologies not calibrated to international standards (IU/mL).",This test was developed and its performance characteristics determined by Sonic Reference Laboratory (SRL). Analyte specific reagents are used. The test has not been cleared or approved by the U.S. Food and Drug Administration (FDA). The FDA has determined that such clearance or approval is not necessary. The results are not intended to be used as the sole means for clinical diagnosis or patient management. This test should not be regarded as investigational or for research use. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,"BKV PCR QUANTITATIVE,BKV QUANT LOG,BKV PCR LOG COPIES,BKV QUANT LOG COP/ML,BKV URINE INTERP"
BORDETELLA PERTUSSIS AND BORDETELLA PARAPERTUSSIS BY PCR,,F605,BORDETELLA PERTUSSIS AND PARAPERTUSSIS BY PCR,,"Bordetella pertussis (43913-3), Bordetella parapertussis (42588-4)", ,Nasopharyngeal Specimen,Viral or Universal Transport Media/Swab,None,One (1) Swab,"Nasopharyngeal Swab Collection Procedure:1) Seat the patient comfortably and tilt the head back.2) Insert a nasal speculum, if available.3) Insert a nasopharyngeal swab through the nares until resistance is met due to contact with the nasopharynx.4) Rotate the swab gently and maintain contact with the nasopharynx for 20-30 seconds or until coughing is induced.5) Once a swab specimen is collected, it should be placed immediately into the transport vial where it comes in to contact with transport media. Transport media must be used because the swab tip is small and vulnerable to drying.6) Transport the specimen to the laboratory as soon as possible. Best recovery is obtained when specimens are refrigerated or kept on wet ice following collection and while in transit.",Refrigerated,Refrigerated: 1 Week; Frozen: 2 Weeks,Ambient specimens. Calcium alginate swabs. Swabs with wooden shafts. Respiratory aspirates submitted in a collection container with tubing., ,"Monday, Tuesday, Wednesday, Thursday, Friday",1 - 4 Days,Negative,Molecular,,Not currently NYSDOH approved,87801,Polymerase chain reaction (PCR)/Melting curve analysis,,This test has components designated by the manufacturer as 'For Research Use Only'. The performance characteristics of this test were determined by Sonic Reference Laboratory (SRL). The components have not been cleared or approved by the U.S. Food and Drug Administration (FDA). The test results are not intended to be used as the sole means for clinical diagnosis or patient management. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,"B PERTUSSIS PCR,B PARAPERTUSSIS PCR"
"BRCA1 AND BRCA2, COMPREHENSIVE",,W260,"BRCA1 AND BRCA2, COMP","Recommended first line test for full gene sequencing and MLPA deletion/duplication analysis of BRCA1 and BRCA2 genes to determine if there is a heritable risk for breast, ovarian, or other cancers.  Testing should be based on personal and family history characteristics described below.",BRCA1 BRCA2 Interp (21636-6 & 38530-2), ,Whole Blood,EDTA (Lavender Top) Tube,See Additional Information,"5.0 mL (3.0 mL minimum, does not allow for repeat testing)",Refrigerate specimen after collection.,Refrigerated,Ambient: 3 Days; Refrigerated: 1 Week; Frozen: 1 Week,Heparinized specimens., ,Weekly,10 Days,Reference ranges will be applied per report,Molecular,,Not currently NYSDOH approved,81162,Massive parallel sequencing/Next-generation sequencing of BRCA1 and BRCA2 coding regions and splice junctions and Multiplex Ligation-dependent Probe Assay of all BRCA1 and BRCA2 coding exons,"Mutation of BRCA1 or BRCA2 should be suspected in individuals with a personal or family history (1st, 2nd, or 3rd degree relative in either lineage) of any of the following characteristics, based on various professional society guidelines:- Breast cancer diagnosed at age 50 or younger- Ovarian cancer- Multiple primary breast cancers either in the same breast or opposite breast- Both breast and ovarian cancer- Male breast cancer- Triple-negative (estrogen receptor negative, progesterone receptor negative, and HER2/neu negative) breast cancer- Pancreatic cancer with breast or ovarian cancer in the same individual or on the same side of the family- Ashkenazi Jewish ancestry- Two or more relatives with breast cancer, one under age 50- Three or more relatives with breast cancer at any age- A previously identified BRCA1 or BRCA2 pathogenic variant in the familyNote: 'Breast cancer' includes both invasive cancer and ductal carcinoma in situ (DCIS). 'Ovarian cancer' includes epithelial ovarian cancer, fallopian tube cancer, and primary peritoneal cancer.Alternate Sample Type: Purified DNA Sample Quantity: 100 킠 at 50 ng/킠 (Minimum of 20 킠 at a minimum concentration of 15 ng/킠)Specimen Stability: Ultra-frozen: 45 Days",This test has components designated by the manufacturer as 'For Research Use Only'. The performance characteristics of this test were determined by Sonic Reference Laboratory (SRL). The components have not been cleared or approved by the U.S. Food and Drug Administration (FDA). The test results are not intended to be used as the sole means for clinical diagnosis or patient management. SRL is qualified to perform high complexity testing under the Clinical Laboratory Improvement Amendments (CLIA).,BRCA1/2 INTERP
